building_id,meter,meter_reading,site_id,square_feet,year_built,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,month,day,hour,weekday,is_weekend,building_age,log_square_feet,log_meter_reading,primary_use_Entertainment/public assembly,primary_use_Food sales and service,primary_use_Healthcare,primary_use_Lodging/residential,primary_use_Manufacturing/industrial,primary_use_Office,primary_use_Other,primary_use_Parking,primary_use_Public services,primary_use_Religious worship,primary_use_Retail,primary_use_Services,primary_use_Technology/science,primary_use_Utility,primary_use_Warehouse/storage
1324,1,0.0,14,84688,1970.0,21.1,0.0,10.0,0.0,1026.1,170.0,1.5,9,16,16,4,0,55.0,11.34674100207642,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1013,0,32.0001,10,67377,1970.0,0.6,0.0,0.0,3.0,1012.4,160.0,4.1,1,24,6,6,1,55.0,11.118073834121676,3.496510591764919,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
229,1,567.655,2,140092,1970.0,33.3,4.0,13.3,0.0,1009.6,320.0,2.6,9,10,7,5,1,55.0,11.850061766765634,6.343273923346567,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,3,0.0,2,282946,2003.0,21.7,0.0,-5.6,0.0,1009.3,240.0,5.7,4,1,1,4,0,22.0,12.5530148799345,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1434,0,65.75,15,33148,1967.0,19.4,0.0,14.4,0.0,1010.1,240.0,2.1,7,10,4,6,1,58.0,10.40876782924649,4.200954297280359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1047,0,90.9833,12,252952,1970.0,1.7,1.0,0.3,0.0,1017.2,130.0,3.0,1,20,4,2,0,55.0,12.440958979701144,4.521607038832845,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
911,1,295.064,9,239638,1970.0,22.8,0.0,13.9,0.0,1012.0,160.0,3.6,3,26,20,5,1,55.0,12.3868889032631,5.690575647168919,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1039,0,16.9,12,30171,1970.0,6.3,5.0,4.1,0.0,1030.8,200.0,5.0,12,18,23,6,1,55.0,10.314669620973522,2.884800712846709,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
265,0,128.37,2,118966,1988.0,30.6,0.0,1.7,0.0,1008.3,0.0,0.0,6,14,6,1,0,37.0,11.686601422711512,4.86267651592981,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
896,0,300.0,9,245637,1970.0,33.9,0.0,22.2,0.0,1014.7,170.0,3.1,9,8,19,3,0,55.0,12.411614186413772,5.707110264748875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
